route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
5356_123775,7778019,6,Howth Dart Stn - Lower Abbey Street,,3,,,
5356_123776,7778019,13,Grange Castle - Harristown,,3,,,
5356_123777,7778019,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),,3,,,
5356_123778,7778019,15,Ballycullen Road - Clongriffin,,3,,,
5356_123779,7778019,16,Ballinteer - Dublin Airport,,3,,,
5356_123780,7778019,16D,Airport - Beaumont Village - Ballinteer not,,3,,,
5356_123781,7778019,19,Parnell Square West - Dublin Airport,,3,,,
5356_123782,7778019,23,Merrion Square - Charlestown SC,,3,,,
5356_123783,7778019,24,Merrion Square - Dublin Airport,,3,,,
5356_123784,7778019,27,Jobstown - Clare Hall,,3,,,
5356_123785,7778019,33,Balbriggan - Lower Abbey St,,3,,,
5356_123786,7778019,33D,Portrane - St Stephens Green,,3,,,
5356_123787,7778019,33E,Lwr Abbey St - Portrane - Skerries,,3,,,
5356_123788,7778019,37,Blanchardstown Shopping Centre - Wilton Terrace,,3,,,
5356_123789,7778019,38,Damastown - Burlington Road,,3,,,
5356_123790,7778019,39,Ongar - Burlington Rd,,3,,,
5356_123791,7778019,41,Swords Manor - Lower Abbey Street,,3,,,
5356_123792,7778019,41D,Swords Business Park - Lwr Abbey St,,3,,,
5356_123793,7778019,42,Sand's Hotel Portmarnock - Eden Quay,,3,,,
5356_123794,7778019,43,Talbot Street - Swords Business Park,,3,,,
5356_123795,7778019,44,Enniskerry - DCU,,3,,,
5356_123796,7778019,47,Poolbeg Street - Belarmine,,3,,,
5356_123797,7778019,52,Intel - Ringsend,,3,,,
5356_123798,7778019,53,Dublin Ferryport - Talbot St,,3,,,
5356_123799,7778019,56A,Tallaght - Ringsend Rd,,3,,,
5356_123800,7778019,60,Forbes Street - Tallaght,,3,,,
5356_123801,7778019,65,Poolbeg Street - Blessington/Ballymore,,3,,,
5356_123802,7778019,68,Newcastle / Greenogue Business Pk - Hawkins St,,3,,,
5356_123803,7778019,69,Rathcoole - Hawkins St,,3,,,
5356_123804,7778019,70,Dunboyne - Burlington Rd,,3,,,
5356_123805,7778019,74,Dundrum Luas - Eden Quay,,3,,,
5356_123806,7778019,77A,Citywest - Ringsend,,3,,,
5356_123807,7778019,80,Liffey Valley SC - Palmerston Park,,3,,,
5356_123808,7778019,82,Irishtown - Kiltipper,,3,,,
5356_123809,7778019,99,Phoenix Park - Phoenix Park,,3,,,
5356_123810,7778019,116,Whitechurch - Parnell Square,,3,,,
5356_123811,7778019,118,Kilternan - Eden Quay,,3,,,
5356_123812,7778019,120,Ashtown Station - Parnell St,,3,,,
5356_123813,7778019,122,Drimnagh - Ashington,,3,,,
5356_123814,7778019,130,Talbot Street - Castle Avenue,,3,,,
5356_123815,7778019,38D,IBM Damastown via N3 - Burlington Rd,,3,,,
5356_123816,7778019,142,Portmarnock - UCD (Belfield),,3,,,
5356_123817,7778019,44D,Dundrum - OCS,,3,,,
