route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
5356_123790,89,5356_10077,Ongar,11386,0,5356_7778195_7039016,5356_224
5356_123790,89,5356_10229,Burlington Road,11331,1,5356_7778195_7039024,5356_226
5356_123876,89,5356_10570,Ongar,11166,0,5356_7778195_7039026,5356_228
5356_123876,89,5356_10576,Ongar,11394,0,5356_7778195_7039027,5356_229
5356_123876,89,5356_10580,Ongar,11267,0,5356_7778195_7039012,5356_229
5356_123876,89,5356_10583,Ongar,11232,0,5356_7778195_7039019,5356_229
5356_123876,89,5356_10587,Ongar,11167,0,5356_7778195_7039029,5356_229
5356_123876,89,5356_10590,Ongar,11322,0,5356_7778195_7039031,5356_228
5356_123876,89,5356_10595,Ongar,11152,0,5356_7778195_7039015,5356_229
5356_123876,89,5356_10600,Ongar,11191,0,5356_7778195_7039028,5356_230
5356_123876,89,5356_10602,Ongar,11377,0,5356_7778195_7039030,5356_228
5356_123876,89,5356_10607,Ongar,11333,0,5356_7778195_7039032,5356_229
5356_123876,89,5356_10611,Ongar,11169,0,5356_7778195_7039029,5356_229
5356_123876,89,5356_10614,Ongar,11324,0,5356_7778195_7039031,5356_228
5356_123876,89,5356_10619,Ongar,11154,0,5356_7778195_7039015,5356_229
5356_123876,89,5356_10976,UCD,11299,1,5356_7778195_7039001,5356_233
5356_123876,89,5356_10980,UCD,11412,1,5356_7778195_7039003,5356_233
5356_123876,89,5356_10983,UCD,11274,1,5356_7778195_7039023,5356_232
5356_123876,89,5356_10987,UCD,11151,1,5356_7778195_7039015,5356_232
5356_123876,89,5356_10992,UCD,11190,1,5356_7778195_7039028,5356_233
5356_123876,89,5356_10994,UCD,11376,1,5356_7778195_7039030,5356_231
5356_123876,89,5356_10999,UCD,11332,1,5356_7778195_7039032,5356_232
5356_123876,89,5356_11003,UCD,11168,1,5356_7778195_7039029,5356_232
5356_123876,89,5356_11006,UCD,11323,1,5356_7778195_7039031,5356_231
5356_123876,89,5356_11011,UCD,11153,1,5356_7778195_7039015,5356_232
5356_123876,89,5356_11017,UCD,11192,1,5356_7778195_7039028,5356_231
